question,answer
Can I get a CAS?,Are you applying for the first time to a new institution to complete a course you started at an institution that lost its Tier 4 sponsorship?
Does the loan meet my needs?,Yes
Can I charge VAT on this item?,Yes
Am I entitled to the correct minimum wage for my age?,Yes
Can I search by Unique ID?,Do you have a Unique ID?
Can I use the loan for this expense?,Will it be used for machinery and equipment?
Is this airport manager performing all their duties?,No
Do I need a licence to export these chemicals?,Does the chemical have radioactive substances?
Can I get IIDB?,Yes
Am I eligible?,No
Do I qualify for this benefit program?,No
Can I apply?,No
Can I make a new claim for Working Tax Credit?,No
Can I get a low-interest loan towards my deposit?,No
Can I be a borrower?,Yes
Can I get vulnerable student bursary?,Do you you get Income Support or Universal Credit in your name?
Can I be classed as an employer?,No
Does this loan meet my needs?,Do you need a direct loan?
Will my right to maternity be affected?,No
Can my au pair be classified as a worker?,Yes
Can I obtain an NADL?,Yes
Does this loan meet my needs?,No
Am I eligible for this benefit?,Yes
Will I automatically be paid the higher benefit when I reach the threshold?,No
Can I use the market value of the property when working out my gain?,Yes
Can I claim tax credits?,Irrelevant
Am I eligible for Dad and Partner Pay?,No
Will I get the National Minimum Wage?,"Are you a a student doing work experience as part of a higher or further education course, of compulsory school age, a volunteer or doing voluntary work, or on a government or European programme?"
Can I get Working Tax Credit?,Are you lawfully present in the UK and a Turkish national?
Do I qualify for this program?,Yes
Can I backdate this claim?,Has it been 4 years or less since your date of registration for goods you still have or goods that were used to make other goods you still have?
Can Educational and Career Counseling help me?,"Do you need to assess your vocational interests, aptitudes, and abilities?"
Is this land eligible for agricultural easements?,Yes
Can I ask for mandatory reconsideration for this benefit?,No
Can the VA help me with this purchase?,"Is the purchase for adaptive equipment, or for repair, replacement, and reinstallation of automobile equipment required because of disability?"
Can I get Winter Fuel Payment?,"Do you have a genuine link with the UK social security system, such as having lived or worked in the UK for most of your life?"
Am I entitled to the correct minimum wage for my age?,Yes
Do I qualify for Guarantee Credit?,Do you live in England?
Do I need to contact the office?,No
Can I claim online?,Irrelevant
Can I get Winter Fuel Payment?,No
Can I apply for Working Tax Credit?,No
Does this insurance cover this Veteran?,No
Can I ask for mandatory reconsideration for this benefit?,Is this a personal independence payment (PIP)?
Can I be classified as a worker?,Does the business deduct tax and National Insurance contributions from your wages?
Do I need information about this?,Irrelevant
Can I use the Capital Gains Tax calculator?,Did you sell business premises or land?
"Can I file bankruptcy under Chapter 9, 12 or 15?",Does it involve an international case?
Am I eligible for Dad and Partner Pay?,No
Can I ask for mandatory reconsideration for this benefit?,Yes
Am I eligible for the loan?,Yes
Will I get up to £2010?,Yes
Do I qualify for Guarantee Credit?,Yes
Can my payments go up?,Did your childcare costs go up?
Am I eligible for the loan?,Yes
Can this benefit be reduced or stopped?,No
Can this benefit reduced or stopped?,No
Can I get vulnerable student bursary?,Yes
Do I need to use TRACES to create a commercial document?,Yes
Can I claim and deal with tax credits for this person?,No
Can I receive Clothing allowance?,Yes
Am I eligible for this benefit?,Did you suffer losses in income due to inability or reduced capacity to fish as a result of the damage sustained by oil and gas obstructions on the U.S. Outer Continental Shelf
May I be able to get Child Tax Credit?,Are you not working because you are sick or disabled?
Can Tax Credit Office ask me to provide evidence that I’ve promoted my business?,Yes
Do I need to get consent for schedule services?,No
Can I be classed as doing voluntary work?,Are you working for a statutory body?
Can I get housing benefit?,Irrelevant
Do I have authority to view care recipient information?,No
Could I be charged a penalty?,No
Is this a digital service?,Yes
Do I have the right to return to my job?,Have you taken less than 26 weeks of maternity leave?
May I be able to get Child Tax Credit?,Yes
Am I able to claim the new State Pension?,No
Can I be a designated provider for this person?,Are you named on the patient's medical marijuana form?
Can I ask for mandatory reconsideration for this benefit?,No
Can I be a designated provider for this person?,Are you named on the patient's medical marijuana form?
Can my patient claim their Medicare benefit electronically at my surgery?,Yes
Do I need to use TRACES to create a commercial document?,No
Do need to tell HM Revenue and Customs about this?,No
Is it possible that I may have to pay UK tax on overseas property?,Irrelevant
Can I get Winter Fuel Payment?,No
Do I need a supplier document?,Are you selling seeds from ornamental plants with the EU?
"Can I file bankruptcy under Chapter 9, 12 or 15?",No
Am I eligible?,is your course at an approved college or training provider in England?
Can I use the loan for this expense?,No
Can I face a financial penalty?,No
Can I get a low-interest loan towards my deposit?,Will you be getting an equity loan?
Can I make a new claim for Working Tax Credit?,Yes
Can I use the loan for this expense?,Will it be used for minor real estate repairs?
Could I be able to stay longer to continue my course?,Do you meet the eligibility requirements of this visa?
Could I be able to increase my new State Pension?,Yes
Is this loan suitable for me?,Irrelevant
Is this a digital service?,Yes
Do I qualify for assistance?,No
Am I eligible?,No
Does this program meet my needs?,Are you residing or traveling abroad?
Do I need to wear a seat belt?,No
Does this loan meet my needs?,Do you need a direct loan?
Can my patient claim their Medicare benefit electronically at my surgery?,No
Do I qualify for this benefit?,Yes
Can I be an individual borrower?,Yes
Can I use the market value of the property when working out my gain?,did you own it before April 1982
Can the VA help me with this purchase?,Yes
Can I get Winter Fuel Payment?,Do you live in the UK?
Am I self-employed?,Yes
Do I qualify for this benefit program?,Are you divorced from the deceased spouse?
Am I eligible for Dad and Partner Pay?,Are you on leave from work to help care for your new child?
Am I responsible for paying back overpayments?,Did you receive and overpayment?
Will I be asked questions by this person?,Yes
Do I need permission to export this drug?,Yes
Am I eligible?,Does your course start before 1 August 2016?
Does this guide apply to me?,Are you a man born on or after 6 April 1951?
Am I committing benefit fraud?,"Did you deliberately not report a change in your circumstances while abroad, like buying a property, working, or claiming a pension or benefit from another country?"
Can I get an additional one-year period after enactment to enroll for VA health care?,Yes
Can I apply to a discretionary bursary?,Do you meet all criteria and evidence?
Can I file bankruptcy under Chapter 13?,Yes
May I be able to get Child Tax Credit?,Are you not working because you are sick or disabled?
Can I get Cold Weather Payments?,Yes
Do I qualify for the extra Savings Credit?,No
Can Educational and Career Counseling help me?,Yes
Can I claim bereavement benefits?,Yes
Can I send my appeal now?,No
Can I claim and deal with tax credits for this person?,Is your child in approved training or education/?
Can I get Winter Fuel Payment?,Do you live in Gibraltar?
Can I claim SMP?,Yes
Do I need a certificate or to follow special rules to export this product?,Yes
Can this fund help me?,No
Can this benefit be reduced or stopped?,No
Can I apply to become a tax credit appointee?,No
Am I eligible to claim Child Tax Credit?,No
Do I need to wear protective headgear?,Yes
Can I consume retail marijuana here?,Irrelevant
Can I continue to get Savings Credit?,Irrelevant
Can I get Crisis Payment?,No
